The lobster knuckles special of the day were , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
It lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles feature of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
'This' lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles Offer of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
It lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of a day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but slightly tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special part the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , However pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special a the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles decent of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but Rather tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special part the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , however pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles special of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
The lobster knuckles feature of the day were ok , but pretty tasteless .####[['lobster knuckles', 'food style_options', 'neutral', 'ok'], ['lobster knuckles', 'food quality', 'negative', 'tasteless']]
