ripe expensive and nutrient not very good .####[('nutrient', 'food_drinks quality', 'negative', 'not very good'), ('nutrient', 'food_drinks prices', 'negative', 'expensive')]
relegate food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive food and expensive non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food . and not very good expensive####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
. expensive expensive and non very good food####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food expensive expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive nutrient non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food Bar expensive and non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive food Bar and non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive not very good non .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar near food . not very good expensive####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
and food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive food saloon prevention not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food and expensive not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
and food expensive . non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar and expensive food non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
food near expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
blockade food and expensive not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
block food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
expensive food Bar and non very good .####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar alimental food expensive not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar food expensive and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar and expensive food not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar and food expensive salutary non very good####[('food', 'food_drinks quality', 'negative', 'non very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
. food expensive and not very good taproom####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
Bar expensive food and not very good .####[('food', 'food_drinks quality', 'negative', 'not very good'), ('food', 'food_drinks prices', 'negative', 'expensive')]
